"Date","Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
2020-09-25,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-26,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-27,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-28,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-29,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-09-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-01,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-10-02,"Down","Down","Down","Down","Down","Same","Same","Same","Same","Same"
2020-10-03,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-04,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-05,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-06,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-07,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-08,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-09,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-10,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-11,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-12,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-13,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-14,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-15,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-16,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-17,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-18,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-20,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-21,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-22,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-23,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-24,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-25,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-26,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-27,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-28,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-29,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-10-31,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-01,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-02,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-03,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-04,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-05,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-06,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-07,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-08,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-09,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-10,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-11,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-12,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-13,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-14,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-15,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-16,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-17,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-18,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-19,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-20,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-21,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-22,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-23,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-24,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-25,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-11-26,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-27,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-28,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-29,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-11-30,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-01,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-02,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-12-03,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-12-04,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-12-05,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-12-06,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-12-07,"Up","Up","Up","Up","Up","Up","Up","Up","Up","Up"
2020-12-08,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-09,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-10,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-11,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-12,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-13,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-14,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-15,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-16,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-17,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
2020-12-18,"Same","Same","Same","Same","Same","Same","Same","Same","Same","Same"
