"Blr_Dsl","Chn_Dsl","Del_Dsl","Hyd_Dsl","Mub_Dsl","Blr_Ptr","Chn_Ptr","Del_Ptr","Hyd_Ptr","Mub_Ptr"
-0.200000000000003,-0.199999999999989,-0.199999999999989,-0.200000000000003,-0.200000000000003,-0.180000000000007,-0.180000000000007,-0.179999999999993,-0.180000000000007,-0.179999999999993
-0.260000000000005,-0.260000000000005,-0.260000000000005,-0.260000000000005,-0.259999999999991,-0.219999999999999,-0.219999999999999,-0.219999999999999,-0.219999999999999,-0.220000000000013
0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25
-0.599999999999994,-0.599999999999994,-0.599999999999994,-0.599999999999994,-0.600000000000009,-0.299999999999997,-0.299999999999997,-0.299999999999997,-0.299999999999997,-0.299999999999997
-0.329999999999998,-0.38000000000001,-0.27000000000001,-0.400000000000006,-0.36999999999999,-0.209999999999994,-0.219999999999999,-0.160000000000011,-0.240000000000009,-0.140000000000001
-0.13000000000001,-0.140000000000001,-0.129999999999995,-0.140000000000001,-0.13000000000001,-0.109999999999999,-0.120000000000005,-0.109999999999999,-0.109999999999999,-0.109999999999999
0,0,0,0,0,0,0,0,0,0
-0.219999999999999,-0.219999999999999,-0.219999999999999,-0.219999999999999,-0.219999999999999,-0.240000000000009,-0.239999999999995,-0.239999999999995,-0.239999999999995,-0.239999999999995
0,0,0,0,0,-0.109999999999999,-0.109999999999999,-0.0900000000000034,-0.109999999999999,-0.0900000000000034
-0.0899999999999892,-0.0999999999999943,-0.0799999999999983,-0.109999999999999,-0.0999999999999943,-0.140000000000001,-0.140000000000001,-0.140000000000001,-0.150000000000006,-0.140000000000001
-0.0900000000000034,-0.120000000000005,-0.109999999999999,-0.120000000000005,-0.120000000000005,-0.0999999999999943,-0.100000000000009,-0.0999999999999943,-0.0999999999999943,-0.0999999999999943
-0.0799999999999983,-0.0799999999999983,-0.0799999999999983,-0.0799999999999983,-0.0799999999999983,-0.0499999999999972,-0.0600000000000023,-0.0499999999999972,-0.0600000000000023,-0.0400000000000063
-0.0799999999999983,-0.0900000000000034,-0.0800000000000125,-0.0999999999999943,-0.0900000000000034,-0.0499999999999972,-0.0499999999999972,-0.0500000000000114,-0.0499999999999972,-0.0499999999999972
-0.0200000000000102,-0.019999999999996,-0.019999999999996,-0.019999999999996,-0.019999999999996,0,0,0,0,0
0,0,0,0,0,-0.110000000000014,-0.109999999999999,-0.0999999999999943,-0.109999999999999,-0.0999999999999943
-0.159999999999997,-0.159999999999997,-0.11999999999999,-0.160000000000011,-0.159999999999997,-0.219999999999999,-0.219999999999999,-0.209999999999994,-0.219999999999999,-0.210000000000008
-0.25,-0.260000000000005,-0.240000000000009,-0.259999999999991,-0.260000000000005,-0.239999999999995,-0.239999999999995,-0.230000000000004,-0.240000000000009,-0.230000000000004
-0.260000000000005,-0.260000000000005,-0.25,-0.27000000000001,-0.259999999999991,-0.219999999999999,-0.230000000000004,-0.219999999999999,-0.239999999999995,-0.219999999999999
0,0,0,0,0,-0.129999999999995,-0.140000000000001,-0.13000000000001,-0.140000000000001,-0.129999999999995
